timestamp,time_iran,month,day_of_week,day,hour,open,high,low,close,volume
1756568100000,2025-08-30 19:05:00,8,5,30,15,3.994158715127766e-05,4.2648665178736876e-05,3.8511686337208595e-05,4.08341100571008e-05,1199.3905423834103
1756568160000,2025-08-30 19:06:00,8,5,30,15,4.08341100571008e-05,4.101938725688565e-05,3.815408620012598e-05,3.835038887290031e-05,509.65171500381155
1756568220000,2025-08-30 19:07:00,8,5,30,15,3.835038887290031e-05,4.0915435767085634e-05,3.835038887290031e-05,3.9224506941528065e-05,636.2777232762973
1756568280000,2025-08-30 19:08:00,8,5,30,15,3.9224506941528065e-05,3.9224506941528065e-05,3.6300511720435795e-05,3.655140093891642e-05,808.8334220986002
1756568340000,2025-08-30 19:09:00,8,5,30,15,3.655140093891642e-05,3.85352116009762e-05,3.655140093891642e-05,3.7594291578924545e-05,569.9749031957274
1756568400000,2025-08-30 19:10:00,8,5,30,15,3.7594291578924545e-05,3.8981971358806275e-05,3.0828778235595396e-05,3.1675519288308925e-05,3588.415521771995
1756568460000,2025-08-30 19:11:00,8,5,30,15,3.1675519288308925e-05,3.607301812030831e-05,3.1675519288308925e-05,3.532140312044916e-05,1595.3729378570547
1756568520000,2025-08-30 19:12:00,8,5,30,15,3.532140312044916e-05,3.557981472442705e-05,3.394510429648294e-05,3.4094296670823266e-05,297.6559947633853
1756568580000,2025-08-30 19:13:00,8,5,30,15,3.4094296670823266e-05,3.413937564393653e-05,3.377570032535138e-05,3.377570032535138e-05,105.31517534948956
1756568640000,2025-08-30 19:14:00,8,5,30,15,3.377570032535138e-05,3.686962123020615e-05,3.377570032535138e-05,3.686962123020615e-05,763.7289286937846
1756568700000,2025-08-30 19:15:00,8,5,30,15,3.686962123020615e-05,4.295253454947586e-05,3.576500373198653e-05,4.295253454947586e-05,2074.546610381097
1756568760000,2025-08-30 19:16:00,8,5,30,15,4.295253454947586e-05,4.332045998687084e-05,3.9383744146948304e-05,3.950716358533066e-05,1815.697661290278
1756568820000,2025-08-30 19:17:00,8,5,30,15,3.950716358533066e-05,3.950716358533066e-05,3.841545810821672e-05,3.865410516084798e-05,228.42229244690577
1756568880000,2025-08-30 19:18:00,8,5,30,15,3.865410516084798e-05,4.474238075437151e-05,3.865410516084798e-05,4.311470393191313e-05,1586.4578184920792
1756568940000,2025-08-30 19:19:00,8,5,30,15,4.311470393191313e-05,4.604540701879282e-05,4.145645333448347e-05,4.3334195925007774e-05,1442.771602384439
1756569000000,2025-08-30 19:20:00,8,5,30,15,4.3334195925007774e-05,4.3334195925007774e-05,4.254686153174392e-05,4.2826968034443464e-05,49.48456898032512
1756569060000,2025-08-30 19:21:00,8,5,30,15,4.2826968034443464e-05,4.3053524628304825e-05,3.7325979398758253e-05,3.7325979398758253e-05,934.5182580141994
1756569120000,2025-08-30 19:22:00,8,5,30,15,3.7325979398758253e-05,4.0132401123175726e-05,3.702892420140161e-05,4.0132401123175726e-05,684.3605992518372
1756569180000,2025-08-30 19:23:00,8,5,30,15,4.0132401123175726e-05,4.0132401123175726e-05,3.693301296778832e-05,3.693301296778832e-05,497.55183998688375
1756569240000,2025-08-30 19:24:00,8,5,30,15,3.693301296778832e-05,3.865222628758139e-05,3.693301296778832e-05,3.751219024615832e-05,562.0124137548635
1756569300000,2025-08-30 19:25:00,8,5,30,15,3.751219024615832e-05,4.147584520221468e-05,3.751219024615832e-05,4.147584520221468e-05,679.3482117026502
1756569360000,2025-08-30 19:26:00,8,5,30,15,4.147584520221468e-05,4.1509843101298545e-05,3.990161085708947e-05,3.990161085708947e-05,317.18889474631925
1756569420000,2025-08-30 19:27:00,8,5,30,15,3.990161085708947e-05,3.990161085708947e-05,3.878198074089564e-05,3.903939039191786e-05,207.02711359562036
1756569480000,2025-08-30 19:28:00,8,5,30,15,3.903939039191786e-05,4.251607496288009e-05,3.903939039191786e-05,4.0547973780839475e-05,809.4042038711681
1756569540000,2025-08-30 19:29:00,8,5,30,15,4.0547973780839475e-05,4.0547973780839475e-05,3.9260499440236794e-05,3.9260499440236794e-05,205.56207974423344
1756569600000,2025-08-30 19:30:00,8,5,30,16,3.9260499440236794e-05,3.9260499440236794e-05,3.818955813295806e-05,3.818955813295806e-05,239.1129738704225
1756569660000,2025-08-30 19:31:00,8,5,30,16,3.818955813295806e-05,3.818955813295806e-05,3.7147689215470816e-05,3.776680102404532e-05,159.34533790499484
1756569720000,2025-08-30 19:32:00,8,5,30,16,3.776680102404532e-05,3.796841219991569e-05,3.74201759064813e-05,3.74201759064813e-05,191.4687479006714
1756569780000,2025-08-30 19:33:00,8,5,30,16,3.74201759064813e-05,3.74201759064813e-05,3.4878765587216934e-05,3.4878765587216934e-05,357.5388447346183
1756569840000,2025-08-30 19:34:00,8,5,30,16,3.4878765587216934e-05,3.4878765587216934e-05,2.7283045779374902e-05,2.8433614976389932e-05,1709.9410205294967
1756569900000,2025-08-30 19:35:00,8,5,30,16,2.8433614976389932e-05,2.8683321328488414e-05,1.681605476348734e-05,2.237964749767694e-05,5273.96193495563
1756569960000,2025-08-30 19:36:00,8,5,30,16,2.237964749767694e-05,2.272085015434055e-05,2.086461934242491e-05,2.086461934242491e-05,824.3332203674897
1756570020000,2025-08-30 19:37:00,8,5,30,16,2.086461934242491e-05,2.4470139872549647e-05,2.0717702243493087e-05,2.4178331067209506e-05,1218.21504871848
1756570080000,2025-08-30 19:38:00,8,5,30,16,2.4178331067209506e-05,2.580796515479531e-05,2.322271212808446e-05,2.4046407434417195e-05,1071.1084103902208
1756570140000,2025-08-30 19:39:00,8,5,30,16,2.4046407434417195e-05,2.550900117652068e-05,2.344275074637182e-05,2.550900117652068e-05,721.5605579986815
1756570200000,2025-08-30 19:40:00,8,5,30,16,2.550900117652068e-05,2.5696911648388388e-05,2.256439019720522e-05,2.2595076888902278e-05,706.463940271677
1756570260000,2025-08-30 19:41:00,8,5,30,16,2.2595076888902278e-05,2.4815172085953264e-05,2.2595076888902278e-05,2.4065016891749715e-05,661.2639543865698
1756570320000,2025-08-30 19:42:00,8,5,30,16,2.4065016891749715e-05,2.5327222148897415e-05,2.3101295574372884e-05,2.329884131816958e-05,1182.1340803492426
1756570380000,2025-08-30 19:43:00,8,5,30,16,2.329884131816958e-05,2.329884131816958e-05,2.278325351054275e-05,2.278325351054275e-05,129.52369487911398
